location,bhk,bathrooms,area_sqft,parking,furnishing,metro_distance_km,property_age,floor,total_floors,price
Gurugram,1,4,581,2,Furnished,13.5,16,19,31,5453574
Karol Bagh,1,2,918,0,Unfurnished,3.45,12,8,24,5005637
Janakpuri,3,1,2001,0,Furnished,6.83,14,16,34,11016742
Vasant Kunj,1,4,1541,0,Unfurnished,13.66,0,7,21,13082084
Pitampura,5,1,3567,0,Unfurnished,6.58,3,13,24,17624212
Rohini,5,1,1985,1,Unfurnished,3.13,19,8,24,9697169
Pitampura,5,1,2929,2,Semi-Furnished,4.67,1,4,4,16798642
Vasant Kunj,1,1,758,2,Semi-Furnished,4.99,15,10,15,7270288
Karol Bagh,1,1,2095,1,Semi-Furnished,14.54,16,19,36,9984691
Janakpuri,2,3,568,0,Semi-Furnished,14.36,17,3,22,2254014
Ghaziabad,5,1,2726,1,Unfurnished,12.01,4,6,12,12700902
Karol Bagh,2,4,1531,0,Furnished,8.18,7,7,21,8981109
Saket,3,1,1054,0,Furnished,8.87,9,15,28,5782420
Rohini,5,4,3093,0,Semi-Furnished,8.99,4,6,16,16190510
Saket,4,2,1475,2,Furnished,5.92,11,12,27,7938862
Gurugram,5,1,862,1,Semi-Furnished,1.46,14,14,23,8333900
Pitampura,2,3,2231,2,Semi-Furnished,4.23,8,9,28,12315395
Gurugram,3,3,2461,0,Furnished,5.06,8,16,24,25333156
Gurugram,4,3,1013,1,Unfurnished,12.99,5,11,28,8645369
Janakpuri,5,1,2759,1,Furnished,2.8,2,9,12,16685906
Laxmi Nagar,1,1,2610,2,Unfurnished,13.17,8,9,13,11799706
Pitampura,3,3,3983,2,Unfurnished,11.18,12,13,23,18234492
Ghaziabad,1,1,3972,1,Furnished,6.34,14,10,17,21945667
Karol Bagh,1,4,898,2,Unfurnished,4.12,9,9,23,4897509
Gurugram,5,1,3188,1,Furnished,2.04,13,8,13,33069141
Gurugram,2,3,3600,2,Furnished,9.84,0,11,13,36577763
Pitampura,2,4,2095,1,Semi-Furnished,12.1,6,8,26,10872544
Gurugram,2,2,2964,1,Unfurnished,6.43,13,3,13,25347345
Rohini,3,3,1917,2,Furnished,9.29,14,13,17,10340047
Karol Bagh,1,1,597,0,Unfurnished,13.94,0,12,22,2946367
Dwarka,3,2,1567,1,Furnished,2.13,3,16,25,9272882
Laxmi Nagar,2,3,2425,2,Furnished,1.02,19,19,26,13597765
Rohini,2,3,2064,2,Unfurnished,9.98,17,14,32,9490988
Saket,2,2,674,2,Furnished,3.61,6,16,25,4304585
Vasant Kunj,4,1,3215,2,Unfurnished,2.59,19,13,25,28219782
Karol Bagh,3,4,1410,0,Semi-Furnished,5.39,18,4,8,6648688
South Extension,2,1,3871,1,Unfurnished,10.05,11,2,11,32353363
Karol Bagh,1,2,3002,2,Semi-Furnished,7.16,8,10,15,16078196
Pitampura,1,2,607,0,Unfurnished,13.64,14,11,18,2213665
Gurugram,2,4,2607,1,Semi-Furnished,10.13,2,10,28,24116293
Gurugram,1,4,1008,0,Unfurnished,13.56,3,17,18,8407028
South Extension,4,1,2833,2,Furnished,6.36,19,11,23,27390802
Laxmi Nagar,2,4,947,0,Semi-Furnished,14.74,1,11,18,4613922
Noida,5,3,1487,2,Unfurnished,6.57,14,2,20,6664093
Janakpuri,1,4,1431,2,Unfurnished,7.47,14,19,20,6792132
Dwarka,5,4,3049,0,Semi-Furnished,3.02,9,3,6,16294125
Ghaziabad,1,2,1827,2,Unfurnished,0.78,19,11,11,9273204
Saket,5,1,3105,0,Semi-Furnished,2.97,6,12,17,17340156
Dwarka,2,1,1084,1,Unfurnished,11.71,11,10,29,5271125
Karol Bagh,2,1,1040,2,Furnished,7.06,9,3,5,6248656
Karol Bagh,2,1,2051,0,Semi-Furnished,7.88,19,16,17,9947169
Janakpuri,2,1,2605,0,Semi-Furnished,11.58,11,8,13,12624358
Dwarka,2,2,1121,1,Semi-Furnished,3.67,8,8,9,6066560
Rohini,5,3,1091,2,Unfurnished,12.76,13,12,12,4842603
Vasant Kunj,4,4,3560,2,Unfurnished,5.68,15,3,9,30822384
Laxmi Nagar,2,4,3774,0,Unfurnished,8.25,0,19,30,19155546
Noida,3,2,2865,1,Semi-Furnished,14.18,6,13,20,13668632
Rohini,5,1,3740,0,Furnished,12.88,1,4,21,20474112
Pitampura,3,2,3333,1,Furnished,6.87,9,5,21,18598987
Dwarka,5,3,3836,1,Furnished,2.3,4,19,32,23603756
Vasant Kunj,3,2,1293,1,Furnished,9.43,13,11,24,12669071
Dwarka,3,4,1904,0,Unfurnished,5.58,2,13,24,9826047
South Extension,2,1,2010,2,Unfurnished,8.62,10,15,24,17354406
Saket,5,2,2660,0,Furnished,6.92,0,1,15,15719363
Gurugram,4,2,875,1,Unfurnished,1.38,14,4,7,8374195
Saket,2,3,1106,2,Semi-Furnished,9.18,8,8,21,5583073
Karol Bagh,5,3,3135,0,Furnished,2.79,3,18,36,18807916
Ghaziabad,5,4,2687,0,Semi-Furnished,2.64,17,2,9,13663126
Gurugram,2,4,603,1,Furnished,7.5,11,17,29,5725405
Pitampura,4,4,3148,2,Semi-Furnished,12.67,15,6,16,14866724
Gurugram,2,3,1153,1,Furnished,12.79,10,12,24,10920186
Dwarka,2,2,1074,1,Semi-Furnished,9.34,19,8,15,5648027
Laxmi Nagar,1,2,2783,2,Furnished,14.48,2,14,21,14596808
Janakpuri,3,2,2680,2,Furnished,14.81,19,1,16,13120444
Noida,5,3,3851,1,Unfurnished,8.69,4,4,5,19015461
Rohini,5,4,3237,1,Semi-Furnished,12.87,14,9,19,15667564
Ghaziabad,5,1,1100,0,Unfurnished,12.15,8,16,21,4715117
Laxmi Nagar,3,3,1079,0,Unfurnished,9.31,19,1,9,4940663
Vasant Kunj,4,2,1600,2,Semi-Furnished,5.9,12,11,19,14549451
Ghaziabad,2,3,3583,2,Unfurnished,5.95,11,18,34,17709797
Saket,1,1,1190,0,Unfurnished,8.6,15,12,24,5779726
Saket,5,4,1581,0,Unfurnished,1.1,11,17,31,8278666
Laxmi Nagar,1,4,996,0,Semi-Furnished,8.88,4,1,6,4791350
Karol Bagh,1,1,3540,0,Unfurnished,4.18,5,6,6,17708531
South Extension,3,3,1149,2,Furnished,12.02,3,19,28,10902616
Laxmi Nagar,1,2,2743,1,Furnished,5.84,15,7,24,14677528
Laxmi Nagar,2,2,1257,2,Semi-Furnished,12.58,19,10,22,6083425
Karol Bagh,1,2,1408,1,Furnished,14.78,7,18,19,7085787
Karol Bagh,4,1,2486,1,Unfurnished,6.26,3,2,9,12191511
South Extension,3,2,1065,1,Furnished,14.96,14,17,34,10064029
South Extension,3,3,2434,0,Furnished,12.27,15,16,23,22934280
South Extension,2,2,1664,2,Furnished,5.79,1,17,21,18099636
Gurugram,3,4,3211,2,Furnished,10.92,11,15,15,30955435
Gurugram,5,3,1881,0,Semi-Furnished,5.3,0,15,27,18577645
Gurugram,1,1,617,0,Semi-Furnished,12.14,18,18,27,4793853
Saket,5,1,2151,0,Unfurnished,1.75,3,2,7,10996117
Ghaziabad,3,3,2186,1,Unfurnished,5.59,16,13,13,10734718
Karol Bagh,5,1,1120,2,Semi-Furnished,10.71,11,7,21,5474201
Laxmi Nagar,1,3,2339,1,Unfurnished,6.33,7,12,26,12049765
South Extension,5,2,3025,0,Semi-Furnished,13.26,0,6,18,28084583
Janakpuri,2,4,1357,2,Unfurnished,14.28,16,4,8,6051170
Laxmi Nagar,4,2,1697,0,Semi-Furnished,12.04,17,16,33,7707071
Karol Bagh,4,2,3309,1,Unfurnished,14.44,17,6,8,14575282
Janakpuri,1,1,3696,1,Furnished,8.39,16,10,21,19425977
Noida,2,4,3924,0,Semi-Furnished,5.0,9,15,19,21051168
Saket,1,4,1304,1,Semi-Furnished,13.68,17,14,32,5631008
Gurugram,1,4,1366,0,Semi-Furnished,4.52,10,8,8,13616788
Saket,5,4,2529,0,Unfurnished,0.94,10,17,21,12766984
Karol Bagh,3,1,2253,2,Semi-Furnished,12.07,7,13,28,11576363
Janakpuri,1,1,1938,0,Semi-Furnished,2.15,16,2,10,10583571
Laxmi Nagar,3,1,2104,0,Furnished,14.33,14,4,7,10762126
Ghaziabad,4,2,3855,0,Unfurnished,12.64,11,16,18,17926051
Pitampura,1,2,2898,2,Furnished,6.92,13,16,29,16436113
South Extension,1,1,869,2,Semi-Furnished,10.46,18,3,14,7558626
Laxmi Nagar,5,2,3036,0,Semi-Furnished,1.43,2,19,29,17240001
Ghaziabad,3,3,3385,1,Furnished,2.35,9,3,6,20048348
Janakpuri,5,4,3479,1,Unfurnished,7.05,10,12,22,17108502
Noida,4,3,2332,0,Semi-Furnished,7.4,2,16,18,12562367
Ghaziabad,3,4,633,2,Semi-Furnished,5.41,11,16,33,3585593
South Extension,3,3,1737,0,Furnished,3.94,13,5,18,17424578
Ghaziabad,3,4,2351,2,Furnished,4.1,14,19,38,12778082
South Extension,3,3,859,1,Semi-Furnished,4.19,14,3,12,8582140
Gurugram,1,4,1222,2,Semi-Furnished,8.72,4,14,31,11917084
Pitampura,5,3,2930,2,Unfurnished,1.61,8,4,7,15327069
Saket,1,3,3920,1,Furnished,12.47,15,10,18,20102943
South Extension,5,2,1527,1,Semi-Furnished,9.58,17,13,25,12941236
Karol Bagh,2,1,3848,2,Semi-Furnished,10.19,4,6,11,20057901
Noida,4,4,1428,0,Unfurnished,7.68,7,5,6,6869141
South Extension,1,3,2142,0,Furnished,5.57,10,1,10,21752902
Rohini,5,3,1451,2,Furnished,5.86,12,18,33,7678535
South Extension,5,2,2422,2,Unfurnished,1.58,15,6,24,21400971
Karol Bagh,2,2,1945,2,Unfurnished,10.59,15,1,11,8717809
Noida,5,4,684,0,Semi-Furnished,3.56,5,2,7,3422823
Saket,3,4,3115,0,Semi-Furnished,13.32,8,3,18,15313657
Karol Bagh,3,4,3539,0,Furnished,5.21,15,19,34,19218206
Rohini,2,4,3828,1,Semi-Furnished,1.63,8,12,19,21460995
Karol Bagh,1,2,1422,2,Unfurnished,12.54,5,19,36,6516230
Rohini,2,2,3112,1,Furnished,8.93,15,7,14,16451975
Dwarka,5,4,3067,2,Furnished,4.08,10,19,32,17244485
South Extension,2,1,2391,2,Furnished,0.67,8,7,7,26055286
Karol Bagh,2,3,3559,2,Semi-Furnished,13.73,2,13,22,17472012
Noida,5,1,2289,0,Unfurnished,10.94,6,17,20,10606329
Laxmi Nagar,3,2,1270,2,Semi-Furnished,4.86,9,17,33,6862017
Noida,4,1,2378,1,Furnished,1.76,19,17,33,13055671
Gurugram,5,4,2000,0,Unfurnished,9.17,15,6,11,16681094
Karol Bagh,5,4,2490,1,Semi-Furnished,8.95,16,13,28,11874929
Janakpuri,4,2,888,1,Unfurnished,13.91,10,11,27,4053874
Ghaziabad,5,2,2328,1,Furnished,2.66,15,14,19,13205122
South Extension,4,1,802,0,Semi-Furnished,8.66,17,14,33,7446479
Dwarka,4,4,1691,1,Furnished,2.62,9,17,17,10130210
South Extension,2,2,1928,0,Unfurnished,6.98,3,17,25,17979850
Noida,3,1,2551,0,Furnished,7.93,15,5,12,13886307
Pitampura,1,3,3503,1,Unfurnished,9.11,4,16,22,17197209
Dwarka,1,1,1861,0,Furnished,10.49,2,10,18,10450844
Janakpuri,3,2,3914,2,Unfurnished,0.58,6,16,23,21174354
Ghaziabad,4,4,1762,0,Semi-Furnished,2.96,4,17,23,9612936
Ghaziabad,2,3,1818,1,Semi-Furnished,3.61,4,18,33,10421401
Pitampura,4,1,2712,1,Furnished,7.22,6,14,31,15379396
Dwarka,3,1,1311,2,Furnished,14.4,15,18,34,6290890
Ghaziabad,4,2,3600,1,Semi-Furnished,8.18,19,10,22,17286626
Rohini,3,2,3624,1,Unfurnished,7.18,11,12,13,17439369
Karol Bagh,1,1,3349,2,Semi-Furnished,14.48,19,13,15,15220812
Laxmi Nagar,1,3,1086,0,Furnished,10.23,8,7,22,6014104
Rohini,5,3,1687,2,Furnished,5.55,11,18,22,9543162
Rohini,2,2,1343,2,Semi-Furnished,2.18,2,18,35,7358517
Ghaziabad,2,1,3664,0,Unfurnished,2.05,9,5,22,18997118
Pitampura,2,3,3783,0,Unfurnished,10.52,11,1,4,17446620
Pitampura,1,3,3842,1,Unfurnished,13.14,1,1,12,17862213
Ghaziabad,2,2,1442,0,Furnished,4.16,2,16,21,8418844
Rohini,1,3,2760,0,Semi-Furnished,14.18,3,8,20,14102829
Karol Bagh,2,4,3833,1,Unfurnished,6.25,12,14,23,18965230
Laxmi Nagar,3,1,3647,0,Furnished,8.04,1,7,15,20651022
Janakpuri,2,4,3111,1,Unfurnished,2.71,7,17,29,16324318
Ghaziabad,5,4,3946,2,Unfurnished,14.59,1,17,21,18607462
Rohini,2,1,1291,2,Semi-Furnished,6.63,14,19,34,6624731
Vasant Kunj,5,1,1398,2,Unfurnished,12.14,15,17,20,11677963
South Extension,3,4,3672,1,Semi-Furnished,2.03,10,13,22,36502804
Dwarka,5,3,2457,0,Semi-Furnished,9.24,7,18,20,12999936
Laxmi Nagar,1,4,2749,1,Furnished,2.42,5,2,4,16503311
Janakpuri,5,1,3338,0,Furnished,2.85,13,16,25,19243108
Rohini,5,4,3746,1,Semi-Furnished,13.58,6,3,4,18763803
Laxmi Nagar,5,1,3389,2,Semi-Furnished,5.71,16,14,23,17464479
Noida,4,3,2351,1,Semi-Furnished,11.85,18,6,18,11287184
Rohini,5,3,1293,1,Furnished,6.27,1,15,26,7760368
South Extension,3,3,1927,1,Semi-Furnished,5.22,12,17,20,17845561
Rohini,4,4,512,2,Semi-Furnished,7.03,17,14,28,2255573
Ghaziabad,1,2,2443,0,Furnished,2.09,2,13,27,14972635
Saket,5,2,502,2,Furnished,3.85,3,19,29,3411049
Dwarka,1,3,3944,2,Unfurnished,13.72,13,16,29,17981161
Gurugram,1,2,2557,0,Furnished,2.54,8,17,22,27270252
Rohini,2,1,2725,0,Unfurnished,0.75,18,4,10,13154450
Dwarka,1,3,2847,1,Unfurnished,2.42,9,18,33,14502355
Saket,5,2,2287,0,Semi-Furnished,8.84,15,4,15,11775822
Karol Bagh,3,3,1247,1,Semi-Furnished,12.66,18,18,33,5707669
South Extension,3,1,828,2,Unfurnished,6.23,7,6,9,7717433
Vasant Kunj,4,3,716,0,Unfurnished,4.35,9,14,26,6451984
Janakpuri,4,1,1765,1,Unfurnished,7.63,11,3,6,8671855
Rohini,4,3,957,1,Unfurnished,14.88,15,9,17,4601767
Pitampura,1,4,3690,0,Unfurnished,11.12,10,11,18,16730164
South Extension,5,4,1434,2,Furnished,7.41,16,11,12,13790820
Gurugram,5,3,3179,2,Unfurnished,8.23,17,8,21,26108330
Dwarka,4,1,2031,2,Furnished,2.05,4,12,20,12192348
Rohini,4,1,2412,1,Semi-Furnished,11.64,3,8,8,12733838
Laxmi Nagar,1,4,2848,1,Unfurnished,1.05,8,6,6,15232533
South Extension,1,1,562,2,Semi-Furnished,13.99,13,9,12,4652746
Pitampura,1,4,3773,2,Unfurnished,11.21,9,13,16,17572777
Janakpuri,3,1,2027,1,Unfurnished,0.96,9,5,11,10400651
Karol Bagh,1,3,589,1,Furnished,5.62,9,16,30,3247355
Vasant Kunj,5,4,1965,0,Furnished,11.68,15,2,16,18416743
Ghaziabad,4,1,1016,1,Semi-Furnished,13.79,3,14,26,5119842
Vasant Kunj,1,2,819,2,Unfurnished,11.92,13,10,21,6949820
Vasant Kunj,1,1,3652,0,Furnished,5.83,18,18,24,35866359
Noida,2,1,1151,2,Semi-Furnished,12.66,14,6,19,5676911
Janakpuri,5,3,1465,0,Semi-Furnished,12.81,0,9,14,7482246
Vasant Kunj,2,2,1626,0,Furnished,9.83,4,8,14,16517197
Rohini,5,4,606,1,Furnished,7.99,18,6,7,3354409
South Extension,5,3,1804,1,Unfurnished,11.79,1,17,24,15509040
Saket,5,4,3238,0,Furnished,13.42,19,7,22,15667251
Laxmi Nagar,5,4,833,1,Unfurnished,12.13,17,16,35,3800805
Gurugram,5,2,1232,0,Semi-Furnished,3.69,8,13,16,11573425
South Extension,3,4,2792,1,Unfurnished,13.8,5,3,22,22978149
Laxmi Nagar,4,4,1579,2,Unfurnished,13.67,5,8,26,7259076
Rohini,1,2,1493,1,Furnished,2.28,16,15,32,8816356
Rohini,5,1,3684,0,Furnished,9.4,2,16,17,20908796
Ghaziabad,1,4,3474,0,Furnished,1.99,17,15,27,20131019
South Extension,5,2,1860,0,Unfurnished,1.66,19,13,32,16244722
Laxmi Nagar,5,4,3241,1,Unfurnished,7.92,1,15,33,16551569
Pitampura,2,4,3421,2,Unfurnished,11.26,4,9,28,16444267
Pitampura,5,2,2468,2,Unfurnished,7.52,1,6,18,12461366
Karol Bagh,2,1,1441,0,Unfurnished,5.38,9,11,12,7171614
South Extension,1,1,2746,1,Furnished,7.54,18,4,23,26207281
Noida,4,2,1434,0,Semi-Furnished,13.12,15,3,17,7041267
Laxmi Nagar,1,3,2897,0,Semi-Furnished,7.33,5,17,33,15745926
Saket,1,2,3372,0,Semi-Furnished,4.13,6,4,21,18505886
Pitampura,3,3,1094,2,Unfurnished,5.1,5,17,35,5107870
Karol Bagh,4,4,2092,2,Semi-Furnished,10.7,16,8,21,10203300
Pitampura,2,3,3346,2,Unfurnished,6.54,5,14,23,16447018
Laxmi Nagar,3,4,2555,2,Semi-Furnished,11.17,15,9,21,12790396
Vasant Kunj,4,3,2953,0,Semi-Furnished,7.82,1,13,13,28840778
Vasant Kunj,4,3,2654,0,Semi-Furnished,4.73,12,8,13,25023295
Janakpuri,1,4,1844,2,Furnished,4.84,7,11,24,11070697
Laxmi Nagar,5,3,1562,2,Semi-Furnished,14.79,15,13,32,7095743
Karol Bagh,5,3,2264,1,Unfurnished,5.44,15,2,20,10678123
Gurugram,5,1,682,0,Furnished,9.32,14,13,25,6516287
Gurugram,4,1,1543,1,Unfurnished,13.55,18,13,17,11663613
Saket,4,2,3302,2,Furnished,8.09,1,7,9,19488313
Pitampura,1,2,1757,0,Semi-Furnished,5.55,14,14,27,8857785
Noida,1,2,2823,2,Semi-Furnished,2.06,15,8,14,14722740
Janakpuri,4,4,2492,2,Unfurnished,12.5,0,10,26,11930494
Vasant Kunj,1,4,3396,1,Furnished,14.6,1,8,20,32505459
Pitampura,1,2,1193,1,Furnished,5.45,8,3,5,6398032
Laxmi Nagar,1,2,2116,0,Unfurnished,1.02,14,14,15,10484083
Janakpuri,1,2,1267,1,Semi-Furnished,13.78,7,2,2,6378063
Gurugram,3,3,3298,0,Semi-Furnished,2.61,1,14,19,34265620
Saket,4,4,1221,0,Semi-Furnished,6.88,8,4,15,6208499
Rohini,1,2,1355,1,Unfurnished,8.72,6,13,20,6366008
Noida,5,4,1408,0,Semi-Furnished,1.53,17,4,21,7762728
Rohini,5,2,1955,0,Unfurnished,4.24,15,3,19,9100325
Ghaziabad,1,3,1319,0,Furnished,9.43,11,19,34,6681107
Saket,3,4,2418,0,Furnished,6.57,0,2,9,14271561
Noida,1,2,3315,2,Unfurnished,3.8,12,6,20,16067079
Gurugram,5,3,1189,2,Unfurnished,6.7,7,6,13,10602485
Gurugram,2,4,2682,1,Furnished,9.78,3,3,21,27128678
Janakpuri,4,4,2642,0,Unfurnished,2.48,17,16,16,12534962
Dwarka,2,4,2535,0,Furnished,13.97,18,19,36,12170681
South Extension,3,3,3163,2,Semi-Furnished,5.16,4,9,16,31593689
Saket,5,1,1959,2,Unfurnished,12.84,14,8,14,8555025
Noida,5,2,1994,0,Semi-Furnished,9.53,4,1,18,10221052
Janakpuri,2,3,3928,0,Furnished,4.28,1,9,25,23696098
Karol Bagh,2,1,3679,0,Furnished,5.29,14,3,8,20793114
Pitampura,5,4,3654,0,Semi-Furnished,5.32,0,7,18,19981237
Rohini,5,3,3359,2,Semi-Furnished,5.11,5,9,28,18052014
Vasant Kunj,5,3,3584,0,Furnished,0.79,17,1,12,36787708
Laxmi Nagar,2,4,2933,2,Unfurnished,9.02,13,11,21,13509782
Vasant Kunj,4,1,3386,0,Furnished,10.85,10,6,25,33113590
Dwarka,4,3,1112,0,Furnished,1.28,11,10,28,6120818
South Extension,2,1,1372,2,Furnished,1.1,19,17,26,14387443
Ghaziabad,1,2,847,1,Furnished,14.96,16,13,13,4607032
Noida,5,2,3594,1,Furnished,10.18,10,6,16,19713490
Dwarka,4,2,2997,0,Semi-Furnished,14.68,3,17,22,15041058
Ghaziabad,3,4,1462,1,Furnished,14.97,1,14,22,7649506
Vasant Kunj,3,4,850,2,Furnished,9.86,11,12,29,7786320
Dwarka,1,1,2083,0,Furnished,6.15,7,11,12,11458516
Dwarka,4,1,3826,0,Furnished,3.27,16,14,27,21531428
Janakpuri,1,2,1645,2,Unfurnished,1.36,0,15,34,9073306
Pitampura,2,2,1327,1,Semi-Furnished,5.63,1,19,33,7828824
Laxmi Nagar,1,2,3585,1,Semi-Furnished,11.82,5,9,12,17848601
Vasant Kunj,1,2,515,1,Semi-Furnished,13.95,13,2,17,4765844
Pitampura,1,3,3527,2,Furnished,11.59,2,5,10,19763683
Dwarka,2,4,2969,2,Unfurnished,13.26,18,7,9,12516892
Rohini,1,1,2625,1,Furnished,7.0,13,4,9,14866414
Karol Bagh,4,1,3663,2,Furnished,13.61,8,15,26,19570573
Karol Bagh,3,3,598,1,Furnished,1.27,3,19,30,3453500
Laxmi Nagar,1,3,3571,1,Semi-Furnished,4.19,8,11,25,19090938
Vasant Kunj,5,1,1736,2,Semi-Furnished,13.35,8,18,25,14808833
Karol Bagh,4,2,3133,2,Semi-Furnished,7.83,7,1,6,16540308
Dwarka,1,4,3812,1,Furnished,6.23,17,11,28,20898001
Karol Bagh,1,3,1498,0,Semi-Furnished,3.94,19,4,7,8160280
Vasant Kunj,5,2,2063,1,Unfurnished,2.78,3,6,8,19393288
Janakpuri,3,4,1725,1,Furnished,3.48,5,11,17,10029406
Dwarka,4,1,2615,2,Semi-Furnished,1.7,13,11,12,13877020
South Extension,3,3,2061,2,Furnished,2.59,15,6,11,21503011
Karol Bagh,3,3,3470,0,Furnished,10.32,8,15,32,18757427
Gurugram,3,1,3994,0,Semi-Furnished,5.25,9,2,15,38124646
South Extension,5,2,1436,0,Furnished,8.1,12,5,18,14603962
Laxmi Nagar,1,4,3738,1,Unfurnished,10.59,14,8,8,17589218
Dwarka,3,2,3521,1,Unfurnished,9.54,13,19,37,16310772
South Extension,3,2,3652,1,Furnished,1.23,15,19,19,37880264
Rohini,5,3,2206,0,Furnished,1.22,10,8,17,13025918
Laxmi Nagar,2,1,3213,1,Furnished,4.07,19,17,36,17327025
Janakpuri,5,3,3825,2,Furnished,2.91,1,13,20,23154561
Janakpuri,3,2,2660,2,Semi-Furnished,1.46,8,15,23,14704519
South Extension,5,1,3553,2,Furnished,9.77,16,13,21,34066925
Ghaziabad,1,1,2104,0,Unfurnished,8.39,12,8,22,10290007
Vasant Kunj,3,2,3767,2,Unfurnished,2.34,17,3,5,33452783
Saket,4,3,1512,1,Unfurnished,0.95,5,8,22,8414674
South Extension,4,1,3683,1,Furnished,6.7,16,9,27,35921055
Saket,1,3,2968,1,Unfurnished,12.47,15,17,36,13084071
Noida,1,2,1270,2,Furnished,14.32,8,19,31,6740815
Dwarka,4,3,2353,2,Unfurnished,8.96,6,4,15,11018073
Karol Bagh,3,2,3349,0,Furnished,4.99,17,8,10,18764007
Noida,2,3,1481,0,Furnished,14.96,19,9,23,6946644
Noida,2,2,1665,2,Unfurnished,4.8,7,4,17,8089494
Laxmi Nagar,4,2,1759,1,Furnished,12.44,0,12,18,9653808
Laxmi Nagar,1,2,1412,0,Unfurnished,7.42,11,17,22,6708887
Vasant Kunj,4,3,2266,1,Furnished,11.76,18,5,7,21129815
Ghaziabad,1,1,3584,2,Unfurnished,5.35,19,4,5,16659955
Gurugram,4,4,2464,1,Semi-Furnished,3.52,0,13,30,25507685
Saket,2,3,2416,2,Unfurnished,13.13,14,14,29,10996909
Noida,5,3,2098,2,Semi-Furnished,2.53,4,5,15,12268609
Saket,4,1,1227,1,Unfurnished,3.01,3,14,20,6650766
Rohini,4,3,1786,1,Furnished,4.9,11,18,31,10096909
Janakpuri,5,4,2232,1,Unfurnished,5.78,8,9,12,11305275
Janakpuri,3,1,1317,0,Semi-Furnished,7.53,15,18,26,6445644
Gurugram,3,1,3384,2,Unfurnished,14.08,9,15,21,27598287
Janakpuri,5,3,1191,2,Semi-Furnished,8.31,13,10,26,6420460
Pitampura,2,4,1216,2,Unfurnished,2.52,15,10,18,6145499
South Extension,1,3,3531,0,Unfurnished,1.57,6,11,18,33206336
Noida,4,3,2482,2,Semi-Furnished,14.29,5,9,21,11864874
Janakpuri,1,1,2889,1,Semi-Furnished,7.11,16,13,30,14961047
Vasant Kunj,4,2,2351,1,Unfurnished,2.36,13,16,22,21174675
Dwarka,5,4,3327,2,Semi-Furnished,11.05,3,4,21,16668331
Gurugram,1,1,2234,1,Semi-Furnished,1.9,4,19,25,22888121
Janakpuri,2,3,1444,1,Furnished,8.55,8,6,23,7985427
Laxmi Nagar,1,2,3115,1,Furnished,5.62,3,4,18,18026045
Ghaziabad,2,2,3309,0,Furnished,1.88,19,10,19,18748198
Pitampura,2,1,1422,0,Semi-Furnished,3.07,3,7,15,7974379
Ghaziabad,5,2,1930,2,Furnished,12.08,18,13,23,9658409
Janakpuri,3,1,2200,0,Semi-Furnished,2.9,19,1,10,11606167
Janakpuri,5,4,838,1,Furnished,13.22,6,16,24,4462538
Ghaziabad,1,4,3529,1,Semi-Furnished,9.29,9,16,16,17627136
Gurugram,2,1,2416,1,Furnished,7.73,16,14,21,23754967
Janakpuri,5,1,1627,0,Furnished,4.16,6,17,17,9788242
Janakpuri,1,2,653,1,Semi-Furnished,9.16,15,5,9,3721107
Karol Bagh,4,3,3921,1,Semi-Furnished,10.19,15,13,24,18991414
Janakpuri,2,4,2960,2,Unfurnished,5.1,10,10,23,14555162
Pitampura,4,3,1544,1,Furnished,5.49,8,5,12,8717025
South Extension,1,1,1629,0,Unfurnished,10.24,6,14,18,13659798
Dwarka,2,1,3641,2,Furnished,14.16,6,2,13,19633003
Janakpuri,4,4,1945,2,Unfurnished,9.14,4,11,13,9228779
Noida,5,2,3262,2,Furnished,2.76,7,10,11,19715039
Pitampura,2,3,1031,1,Semi-Furnished,12.34,5,4,12,5488619
Saket,5,1,2073,0,Unfurnished,14.55,14,3,7,8806221
Gurugram,2,2,1027,1,Unfurnished,1.13,6,14,19,9890248
Pitampura,2,4,1652,1,Semi-Furnished,8.08,4,16,22,9015304
Vasant Kunj,2,2,1826,1,Unfurnished,10.82,8,14,18,15942658
Laxmi Nagar,5,4,3472,2,Furnished,2.02,3,15,33,21349342
Karol Bagh,2,4,703,0,Furnished,10.26,9,18,36,4260353
Ghaziabad,5,4,3649,1,Unfurnished,1.45,15,17,23,18317164
Ghaziabad,2,2,3128,0,Semi-Furnished,4.09,12,12,14,16672511
Saket,4,1,3046,1,Furnished,1.67,19,6,21,17202735
Laxmi Nagar,3,4,2086,2,Furnished,9.85,0,2,14,11650790
Dwarka,2,1,657,1,Unfurnished,12.6,15,12,12,2478014
Laxmi Nagar,1,2,3059,1,Furnished,2.35,18,15,23,17158783
Laxmi Nagar,4,4,2807,1,Furnished,4.85,8,12,19,16690380
Laxmi Nagar,5,1,2986,2,Unfurnished,6.79,7,18,36,14560785
Rohini,4,2,3069,2,Unfurnished,1.68,11,14,28,15186747
Rohini,2,2,3601,1,Furnished,0.65,15,13,32,21092837
Saket,2,3,3082,1,Unfurnished,12.17,2,19,22,14658442
Karol Bagh,4,3,3766,2,Semi-Furnished,6.6,6,2,7,20035052
Dwarka,2,4,915,0,Furnished,9.52,13,9,19,5144167
Rohini,2,3,1188,1,Semi-Furnished,10.36,17,3,17,5927949
